"rec_id","state_lgd_code","district_lgd_code","sub_district_lgd_code","village_lgd_code","season","season_id","season_start_date","season_end_date","crop_code","crop_name_eng","irrigation_source","area_unit","year","timestamp","no_of_plots","no_of_farmers","crop_area_closed","crop_area_approved","createdat","updatedat","reference_id","record_id","is_view"
107147899,"27","479","4127","547543","Rabi",NULL,"","","0503300","Mosami","शेततळे","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.5900","0.5900","2025-03-13 15:59:49",NULL,"20250313153709","000a81ab-02da-464d-b032-8b382d3ce65d",False
107147900,"27","489","4117","546515","Rabi",NULL,"","","0101901","Wheat","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","12","12","3.9600","3.9600","2025-03-13 15:59:49",NULL,"20250313153709","000b32bc-2123-40b2-8022-70b309b92d95",False
107147901,"27","478","3964","527054","Rabi",NULL,"","","0500100","Acid Lime","अन्य सर्व्हे नं. मधिल विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.0000","1.0000","2025-03-13 15:59:49",NULL,"20250313153709","000b4b58-66c9-4f81-bb8e-018cdb5ef8a2",False
107147902,"27","486","3955","525897","Rabi",NULL,"","","0101000","Maize","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.8000","0.8000","2025-03-13 15:59:49",NULL,"20250313153709","0010212c-df61-48fb-ba13-951f1128703e",False
107147903,"27","471","4039","537062","Rabi",NULL,"","","0201100","Mungbean","कुपनलिका/बोअरवेल/विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6300","0.6300","2025-03-13 15:59:49",NULL,"20250313153709","000bd820-9d5c-4838-a3d1-c6d34557d95b",False
107147904,"27","494","4263","564026","Rabi",NULL,"","","0505200","Strawberry","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.2330","0.2330","2025-03-13 15:59:49",NULL,"20250313153709","000d6622-0e1f-4a6b-8e4a-34e73e5cb300",False
107147905,"27","494","4261","563702","Rabi",NULL,"","","0101000","Maize","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.4200","0.4200","2025-03-13 15:59:49",NULL,"20250313153709","000f176c-6a69-46b2-8d47-c04579b88832",False
107147906,"27","466","4203","557507","Rabi",NULL,"","","0501900","Grapes","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","26","26","20.9500","20.9500","2025-03-13 15:59:49",NULL,"20250313153709","000f49e5-70f6-410b-9f9c-cf45839c9aea",False
107147907,"27","479","4131","548069","Rabi",NULL,"","","0300200","Sugarcane","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","8","8","10.7900","10.7900","2025-03-13 15:59:49",NULL,"20250313153709","000140ce-e23f-4873-bac2-17667b18989a",False
107147908,"27","487","4156","551478","Rabi",NULL,"","","0101000","Maize","तलाव","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","1.5700","1.5700","2025-03-13 15:59:49",NULL,"20250313153709","0001f55a-4f34-4a71-96da-1976788e8e64",False
107147909,"27","486","3954","525769","Rabi",NULL,"","","0101000","Maize","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","67","67","78.6100","78.6100","2025-03-13 15:59:49",NULL,"20250313153709","0002753a-acaa-44f9-8385-74d21a8f41b6",False
107147910,"27","488","4239","561311","Rabi",NULL,"","","0101901","Wheat","अजलसिंचित","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.3200","0.3200","2025-03-13 15:59:49",NULL,"20250313153709","00107a72-dcda-497d-a01b-f4014135f46c",False
107147911,"27","494","4259","563440","Rabi",NULL,"","","0101000","Maize","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","679","679","106.9234","106.9234","2025-03-13 15:59:49",NULL,"20250313153709","0004bdaf-8a6e-4a81-be8e-d94b75e13887",False
107147912,"27","490","4193","556303","Rabi",NULL,"","","0300100","Sugar Beet","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","3.5000","3.5000","2025-03-13 15:59:49",NULL,"20250313153709","00051522-aa8f-43e6-b230-2f77180854b4",False
107147913,"27","498","4021","534408","Rabi",NULL,"","","0101800","Sorghum","नाला","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.9000","0.9000","2025-03-13 15:59:49",NULL,"20250313153709","00064f78-6cba-4d24-8b22-e9b4b407ef26",False
107147914,"27","473","4064","540159","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","10","10","15.2000","15.2000","2025-03-13 15:59:49",NULL,"20250313153709","00068d49-c823-41f7-81cc-3476d26c5270",False
107147915,"27","496","4250","562491","Rabi",NULL,"","","0101000","Maize","अन्य सर्व्हे नं. मधिल विंधन विहीर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.2160","0.2160","2025-03-13 15:59:49",NULL,"20250313153709","0006e78f-806b-4b9c-b07b-ec9487592b8a",False
107147916,"27","466","4214","558715","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","1.2500","1.2500","2025-03-13 15:59:49",NULL,"20250313153709","000767c4-117c-4aff-813f-eabae9812343",False
107147917,"27","485","4108","545335","Rabi",NULL,"","","0200400","Chickpea","जलाशय उपसा सिंचन","Hectare","2024-2025","2025-03-12 20:14:22.294777","2","2","1.7100","1.7100","2025-03-13 15:59:49",NULL,"20250313153709","00000249-375a-4378-bd26-9179074ef8f2",False
107147918,"27","494","4258","563257","Rabi",NULL,"","","0300200","Sugarcane","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6875","0.6875","2025-03-13 15:59:49",NULL,"20250313153709","0000c01e-2cf4-493e-b513-d9ce92e5520f",False
107147919,"27","490","4187","555336","Rabi",NULL,"","","0503200","Mango","नदी","Hectare","2024-2025","2025-03-12 20:14:22.294777","5","5","2.7000","2.7000","2025-03-13 15:59:49",NULL,"20250313153709","0000f3af-dd91-4fde-bdf1-96ad4d78851e",False
107147920,"27","494","4265","564565","Rabi",NULL,"","","0300200","Sugarcane","सरकारी कालवा","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.0151","0.0151","2025-03-13 15:59:49",NULL,"20250313153709","0001b3a3-67ec-4bfc-b6e6-770fb0c014b0",False
107147921,"27","469","4138","549009","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","1.0900","1.0900","2025-03-13 15:59:49",NULL,"20250313153709","00025caa-e84b-48a9-a694-c33818441031",False
107147922,"27","473","4065","540435","Rabi",NULL,"","","0200400","Chickpea","विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","1","1","0.6000","0.6000","2025-03-13 15:59:49",NULL,"20250313153709","000375eb-ff71-49bd-978d-fd85e231c42c",False
107147923,"27","498","4019","534092","Rabi",NULL,"","","0200400","Chickpea","अन्य सर्व्हे नं. मधिल विहिर","Hectare","2024-2025","2025-03-12 20:14:22.294777","4","4","3.6600","3.6600","2025-03-13 15:59:49",NULL,"20250313153709","0004c62a-64e8-4666-b106-5c29d8295767",False
